time,seconds_elapsed,z,y,x
1789582854097760300,0.03576025390625,-9.463680612182616,-2.320490381126851,1.1065518134944141
1789582854107728100,0.04572802734375,-9.463236375546455,-2.3221723428644236,1.1068225932598112
1789582854117696300,0.0556962890625,-9.463651970610021,-2.3196835947886107,1.1084854849707335
1789582854127665400,0.06566552734375,-9.464621107903122,-2.316229070420563,1.107437291092053
1789582854137633300,0.07563330078125,-9.464768991941213,-2.3165156322769818,1.1055724470682442
1789582854147601200,0.08560107421875,-9.465134902644158,-2.3155253060653807,1.1045124896865337
1789582854157569300,0.0955693359375,-9.465768524372578,-2.312567917564511,1.1052803322538733
1789582854167538200,0.1055380859375,-9.466069553145765,-2.311568092872202,1.1047935716502368
1789582854177506300,0.11550634765625,-9.465922838151455,-2.3124938294149935,1.1041134073663503
1789582854187474200,0.12547412109375,-9.466671610692142,-2.308884845137596,1.1052451878752558
1789582854197443300,0.135443359375,-9.4666797939986,-2.3084840092517434,1.1060107654202729
1789582854207411200,0.1454111328125,-9.466110469678044,-2.310075370096415,1.1075611366674303
1789582854217379300,0.15537939453125,-9.465962585639954,-2.3092272288344797,1.1105887408602981
1789582854227347200,0.16534716796875,-9.466552368226647,-2.3055478096693753,1.113201407576725
1789582854237316000,0.175316162109375,-9.466389871141313,-2.3063325303062796,1.112956858231127
1789582854247284200,0.1852841796875,-9.46593043693602,-2.3079586702033876,1.1134964450005442
1789582854257252000,0.195252197265625,-9.466474042293429,-2.304069992201775,1.116922546991706
1789582854267221200,0.20522119140625,-9.466821248295902,-2.300861259288341,1.1205885221533476
1789582854277189400,0.215189453125,-9.466533663526176,-2.300965742576122,1.1228031294628977
1789582854287157200,0.2251572265625,-9.466496838647126,-2.300041467338055,1.1250054618127643
1789582854297125400,0.23512548828125,-9.4670708391428,-2.2962300923563537,1.1279540094200522
1789582854307094300,0.24509423828125,-9.467025830957294,-2.2950990424998103,1.1306324348490684
1789582854317062100,0.255062255859375,-9.466652905991673,-2.2949691325098276,1.134010313784331
1789582854327030300,0.2650302734375,-9.466593869280814,-2.2932193662330507,1.138036427495256
1789582854336999200,0.274999267578125,-9.466861580306292,-2.2903880883298813,1.1415098757594824
1789582854346967300,0.28496728515625,-9.466647060772775,-2.289534394109994,1.1449905574820936
1789582854356935200,0.29493505859375,-9.46617125995457,-2.289755489514768,1.1484805184897036
1789582854366903300,0.3049033203125,-9.465711241227387,-2.2890344817638395,1.1536953305285422
