time,seconds_elapsed,z,y,x
1789058981176599300,0.040599365234375,-0.9415740966796875,-0.3470001220703125,-0.0215911865234375
1789058981186610200,0.050610107421875,-0.9415435791015625,-0.3462371826171875,-0.0137481689453125
1789058981196620300,0.060620361328125,-0.9442901611328125,-0.3470611572265625,-0.00030517578125
1789058981206630100,0.070630126953125,-0.9407501220703125,-0.3535919189453125,0.0087890625
1789058981216641300,0.080641357421875,-0.938323974609375,-0.3567657470703125,0.00689697265625
1789058981226651100,0.090651123046875,-0.9342193603515625,-0.364044189453125,0.0072784423828125
1789058981236661200,0.1006611328125,-0.93341064453125,-0.3657073974609375,0.0073699951171875
1789058981246672100,0.110672119140625,-0.9272613525390625,-0.3686676025390625,0.0191497802734375
1789058981256682200,0.12068212890625,-0.930023193359375,-0.36566162109375,0.0201568603515625
1789058981266692000,0.130692138671875,-0.9326019287109375,-0.3699188232421875,0.0347137451171875
1789058981276703200,0.140703125,-0.936187744140625,-0.3637847900390625,0.0449066162109375
1789058981286713300,0.15071337890625,-0.93548583984375,-0.3696441650390625,0.0408935546875
1789058981296723500,0.160723388671875,-0.9315643310546875,-0.36810302734375,0.03826904296875
1789058981306734300,0.170734375,-0.931915283203125,-0.3667755126953125,0.0395965576171875
1789058981316744400,0.180744384765625,-0.93499755859375,-0.3631134033203125,0.0433807373046875
1789058981326754300,0.19075439453125,-0.936248779296875,-0.365692138671875,0.0402984619140625
1789058981336765200,0.20076513671875,-0.9351959228515625,-0.3644256591796875,0.0438995361328125
1789058981346775300,0.210775390625,-0.9341583251953125,-0.3654327392578125,0.04779052734375
1789058981356785400,0.220785400390625,-0.9351043701171875,-0.361083984375,0.0449676513671875
1789058981366796300,0.23079638671875,-0.93408203125,-0.360992431640625,0.0491485595703125
1789058981376806100,0.24080615234375,-0.93609619140625,-0.360565185546875,0.0424346923828125
1789058981386816300,0.250816162109375,-0.9376373291015625,-0.3543701171875,0.0380401611328125
1789058981396827100,0.2608271484375,-0.93780517578125,-0.3490753173828125,0.0340118408203125
1789058981406837200,0.270837158203125,-0.936431884765625,-0.3444671630859375,0.0281219482421875
1789058981416847000,0.28084716796875,-0.934844970703125,-0.342315673828125,0.0190887451171875
1789058981426858200,0.290858154296875,-0.9359283447265625,-0.3372344970703125,0.01409912109375
1789058981436868000,0.3008681640625,-0.9367828369140625,-0.331878662109375,0.00048828125
1789058981446878200,0.310878173828125,-0.9271697998046875,-0.3365325927734375,-0.0277557373046875
1789058981456889000,0.32088916015625,-0.9556884765625,-0.289825439453125,-0.1233062744140625
1789058981466899200,0.330899169921875,-0.870361328125,-0.344940185546875,-0.1635589599609375
1789058981476909000,0.340908935546875,-0.9845428466796875,-0.307952880859375,0.0191650390625
1789058981486920400,0.35092041015625,-0.930938720703125,-0.3829193115234375,-0.0322113037109375
1789058981496930300,0.360930419921875,-0.9255523681640625,-0.3770904541015625,0.0251617431640625
1789058981506940400,0.3709404296875,-0.9204254150390625,-0.338043212890625,-0.1076812744140625
1789058981516951300,0.380951416015625,-0.921783447265625,-0.3476409912109375,-0.146697998046875
1789058981526961400,0.39096142578125,-0.91845703125,-0.3072662353515625,-0.033905029296875
1789058981536971300,0.40097119140625,-0.930389404296875,-0.359344482421875,-0.1130218505859375
1789058981546982400,0.410982421875,-0.93267822265625,-0.396759033203125,-0.034820556640625
1789058981556992300,0.4209921875,-0.9276123046875,-0.3443450927734375,-0.0207061767578125
1789058981567002400,0.43100244140625,-0.9075469970703125,-0.39300537109375,-0.08416748046875
1789058981577013200,0.44101318359375,-0.902374267578125,-0.3399658203125,-0.094696044921875
1789058981587023400,0.4510234375,-0.9098358154296875,-0.3459014892578125,-0.1617584228515625
1789058981597033200,0.461033203125,-0.936004638671875,-0.3325958251953125,-0.210693359375
1789058981607044000,0.471044189453125,-0.9380950927734375,-0.3184967041015625,-0.14337158203125
1789058981617054200,0.48105419921875,-0.9199371337890625,-0.349090576171875,-0.176116943359375
1789058981627064300,0.491064208984375,-0.8903656005859375,-0.3711395263671875,-0.1840972900390625
1789058981637075200,0.5010751953125,-0.898529052734375,-0.3672637939453125,-0.1769561767578125
1789058981647085300,0.511085205078125,-0.93548583984375,-0.35406494140625,-0.2059173583984375
1789058981657095200,0.52109521484375,-0.9417572021484375,-0.3370361328125,-0.17291259765625
1789058981667106000,0.53110595703125,-0.9304656982421875,-0.3308258056640625,-0.1954803466796875
