time,seconds_elapsed,text,millisecond_press_duration
1704894225000000,-1787776658.274,bump,112.50699996948242
1704917046000000,-1787776635.453,bump,95.7720000743866
1704925597000000,-1787776626.902,bump,29.17199993133545
1704933140000000,-1787776619.359,bump,95.82500004768372
1704956094000000,-1787776596.405,bump,104.25
1704962912000000,-1787776589.587,bump,95.84299993515015
1704992775000000,-1787776559.724,bump,70.84299993515015
1704996642000000,-1787776555.857,bump,87.54200005531311
1704998368000000,-1787776554.131,bump,70.81599998474121
1705016663000000,-1787776535.836,bump,95.83500003814697
1705021355000000,-1787776531.144,bump,87.51600003242493
1705028248000000,-1787776524.251,bump,129.12099981307983
1705097543000000,-1787776454.956,My Annotation 2,70.8439998626709
1705098401000000,-1787776454.098,bump,62.50500011444092
1705100277000000,-1787776452.222,bump,120.83999991416931
