time,seconds_elapsed,text,millisecond_press_duration
1732315958000000,-1787816681.02,bump,112.51999998092651
1732318058000000,-1787816678.92,bump,104.10599994659424
1732334969000000,-1787816662.009,bump,129.16499996185303
1732340879000000,-1787816656.099,bump,120.8600001335144
1732342554000000,-1787816654.424,bump,112.5090000629425
1732349788000000,-1787816647.19,bump,104.18400001525879
1732354906000000,-1787816642.072,bump,70.84999990463257
1732383211000000,-1787816613.767,bump,87.51500010490417
1732394829000000,-1787816602.149,bump,95.8490002155304
1732407815000000,-1787816589.163,bump,104.16400003433228
1732424509000000,-1787816572.469,bump,104.117999792099
1732428493000000,-1787816568.485,bump,104.19000005722046
