time,seconds_elapsed,z,y,x
1789316120854490600,0.06249072265625,-8.73054052491188,-4.454933289985359,0.3187620348105207
1789316120864457700,0.072457763671875,-8.724846112662552,-4.466630449780822,0.31089765811096876
1789316120874425300,0.08242529296875,-8.71922242756188,-4.477974558354914,0.3054270264138467
1789316120884393500,0.0923935546875,-8.713957638901471,-4.488452697749436,0.3018658815998584
1789316120894361600,0.102361572265625,-8.709159298709034,-4.497939195758104,0.29911342282025144
1789316120904329500,0.11232958984375,-8.705634047192335,-4.505071239595115,0.2943613694549538
1789316120914296600,0.122296630859375,-8.703531521955131,-4.509602161023021,0.2870728016156703
1789316120924264400,0.132264404296875,-8.702208748918771,-4.5126574569404125,0.27904636622220275
1789316120934232600,0.142232666015625,-8.701227921187877,-4.515047566947341,0.2708518442528322
1789316120944200400,0.152200439453125,-8.700065307149291,-4.517796865655481,0.26223131542373446
1789316120954168600,0.16216845703125,-8.697874519106746,-4.52251863348037,0.25334106627516445
1789316120964135400,0.172135498046875,-8.694299583229421,-4.529868119460344,0.24461795385442672
1789316120974103600,0.182103515625,-8.68992151427567,-4.538832054899633,0.23378223319388924
1789316120984071400,0.192071533203125,-8.685175781053305,-4.5485184593945736,0.22154663740647956
1789316120994039600,0.20203955078125,-8.680476225060223,-4.558035644802451,0.20982642552899194
1789316121004006700,0.212006591796875,-8.676489201250671,-4.56611256827414,0.19883958769366145
1789316121013974500,0.221974609375,-8.673217632234095,-4.57277933268696,0.18806071178689598
1789316121023942400,0.2319423828125,-8.6702079290241,-4.578881448954344,0.17810665106540544
1789316121033910500,0.24191064453125,-8.667082490479945,-4.585178795532882,0.16793648164151234
1789316121043878700,0.251878662109375,-8.663301802897452,-4.592639632932841,0.15889548064433037
1789316121053845500,0.261845458984375,-8.658855929404497,-4.601236488625407,0.15236929374597966
1789316121063813400,0.2718134765625,-8.653993291804193,-4.61049999153316,0.1485726231430657
1789316121073781500,0.281781494140625,-8.648971079728007,-4.619902610650659,0.14892211243417114
1789316121083749600,0.29174951171875,-8.644569629898667,-4.628069258232414,0.15092346058553083
1789316121093716700,0.301716796875,-8.641087633001804,-4.634525887025893,0.15218179008355362
1789316121103683600,0.31168359375,-8.63902427073121,-4.6383968832403415,0.15138190841013566
1789316121113651500,0.3216513671875,-8.638360838386417,-4.639717318189144,0.14875764258746058
1789316121123619600,0.33161962890625,-8.638702199169993,-4.639258176244795,0.1431505067627877
1789316121133587700,0.341587646484375,-8.63993904748857,-4.637160619443654,0.13632980303042566
1789316121143554600,0.351554443359375,-8.642015853762626,-4.633434000135958,0.13130056755840777
1789316121153522400,0.3615224609375,-8.644927941817045,-4.628082409974932,0.12829433494713158
1789316121163490600,0.371490478515625,-8.648350902003049,-4.621663190582394,0.1289968754596077
1789316121173458700,0.381458740234375,-8.651787306192517,-4.6151612613424655,0.13133042384055443
1789316121183426600,0.391426513671875,-8.654481367582083,-4.6100668608129025,0.1327598081897013
1789316121193393700,0.4013935546875,-8.655672038671375,-4.60775741482675,0.13529048657794482
1789316121203361500,0.411361572265625,-8.655444659656286,-4.608050260293483,0.13976988788116723
1789316121213329700,0.42132958984375,-8.654331729978322,-4.610005486014485,0.1441354992121458
1789316121223297500,0.431297607421875,-8.652536078733204,-4.613282607989013,0.14706086687324568
1789316121233265700,0.441265625,-8.650019127476215,-4.617916405269503,0.1496782554305624
1789316121243232500,0.451232421875,-8.646803672561049,-4.623845210796595,0.1523890670255292
1789316121253200600,0.46120068359375,-8.64346546804905,-4.630062477876246,0.15300114364242182
1789316121263168500,0.47116845703125,-8.640384453168512,-4.635842230321467,0.1520328648658469
1789316121273136600,0.48113671875,-8.63773715353012,-4.640777348636091,0.15186475089048035
1789316121283103700,0.491103759765625,-8.635527076265216,-4.644857019165158,0.15282868228550067
