time,seconds_elapsed,text,millisecond_press_duration
1735416083000000,-1787816914.662,bump,29.17300009727478
1735420642000000,-1787816910.103,bump,54.176000118255615
1735429935000000,-1787816900.81,bump,79.1800000667572
1735432152000000,-1787816898.593,bump,87.4979989528656
1735476159000000,-1787816854.586,bump,87.4539999961853
1735496454000000,-1787816834.291,bump,87.43900084495544
1735519983000000,-1787816810.762,bump,112.51800107955933
1735524468000000,-1787816806.277,bump,95.84899997711182
1735597591000000,-1787816733.154,bump,37.49300003051758
1735599183000000,-1787816731.562,bump,62.504000186920166
1735600883000000,-1787816729.862,bump,37.49499988555908
1735602458000000,-1787816728.287,bump,87.55100011825562
1735611293000000,-1787816719.452,bump,87.42899990081787
1735614802000000,-1787816715.943,bump,79.17899990081787
1735645140000000,-1787816685.605,bump,62.50999999046326
1735652458000000,-1787816678.287,bump,70.850998878479
1735653225000000,-1787816677.52,bump,4.166999816894531
1735654725000000,-1787816676.02,bump,70.84400010108948
1735658801000000,-1787816671.944,bump,70.85099983215332
1735672395000000,-1787816658.35,bump,87.50200009346008
1735676287000000,-1787816654.458,bump,95.84899997711182
1735678729000000,-1787816652.016,bump,70.84999990463257
